#{"t_start": 1669935032.9009788, "env_id": null}
r,l,t
-2,700,410.072949
1,793,410.624162
-2,781,411.151751
-3,708,411.653511
-1,818,412.245109
1,886,412.914557
-4,606,413.362361
-3,730,413.85902
-4,539,414.250972
-4,527,414.601036
2,778,415.149987
-3,799,415.730424
2,755,416.295522
2,811,416.87456
-2,915,417.53654
-5,437,417.868707
-4,609,418.289109
-2,694,418.774227
-3,824,419.378004
1,803,419.959916
4,650,420.440914
1,812,421.008264
-5,566,421.399352
-1,1030,422.132681
-3,639,422.575775
-5,452,422.900507
-1,887,423.531045
-4,526,423.888092
-4,732,424.407579
-3,694,424.901313
-3,602,425.331989
-3,617,425.772838
1,831,426.338326
-4,482,426.672726
2,968,427.334953
-2,696,427.834839
-3,665,428.35111
-3,750,428.97099
-4,533,429.362941
-3,690,429.853384
1,983,430.655106
-1,980,431.333293
1,766,432.040332
1,967,432.764642
-3,594,433.199923
1,825,433.816355
-3,622,434.357412
-3,748,434.993711
-1,835,435.700657
-4,529,436.144068
-1,1071,437.037942
-3,629,437.582675
-4,705,438.096661
-4,525,438.458937
-4,736,438.982384
-4,667,439.466206
-4,789,440.018214
-3,637,440.474221
-4,503,440.894096
-4,460,441.260877
1,865,441.914899
-4,582,442.347968
-3,655,442.863337
-4,586,443.42212
-3,788,444.049028
-3,703,444.5563
-2,1037,445.349324
-3,782,445.921132
-4,645,446.555962
-5,491,447.014041
-4,579,447.551102
-4,658,448.174468
-1,812,448.987053
-5,587,449.606595
-2,657,450.34559
-3,859,451.176363
-3,982,452.271997
-3,657,453.023106
4,601,453.65304
-3,629,454.329121
-3,655,455.075971
-3,765,455.855061
-2,772,456.749572
-3,616,457.410802
-2,916,458.291806
-5,610,458.831343
3,778,459.6007
-2,866,460.436065
-4,607,461.051942
1,831,461.847569
-4,543,462.413404
-2,862,463.189547
3,658,463.810646
-3,662,464.417989
-3,781,465.164256
-1,963,466.096644
-3,682,466.759063
-1,913,467.635626
-4,538,468.15261
-5,528,468.676353
1,880,469.512175
-4,913,470.342619
-4,720,470.985898
-4,766,471.669072
-5,725,472.314353
-2,803,473.051374
-3,605,473.588937
-4,673,474.193933
1,906,475.089947
-3,784,475.782098
-2,803,476.494191
-4,639,477.129014
3,681,477.778658
-4,564,478.312673
-3,735,479.050134
-4,639,479.643735
-1,1027,480.555284
-3,707,481.243132
-2,746,481.98121
-2,751,482.64679
-4,870,483.452094
-3,705,484.0854
-1,988,485.017039
-4,546,485.524659
-5,437,485.942344
-5,397,486.314003
-3,726,487.007403
-1,729,487.747548
-5,852,488.522132
-5,658,489.167394
-4,660,489.811889
1,1005,490.721147
-4,571,491.274813
2,807,492.037904
2,788,492.805197
4,602,493.410986
-3,744,494.080816
-2,1015,495.20667
-2,824,496.011942
-3,703,496.662081
-3,676,497.304649
-3,832,498.091179
-3,570,498.679792
-5,438,499.103659
1,794,499.907281
-3,560,500.422902
3,938,501.299575
-2,853,502.240242
-3,600,502.82175
-5,522,503.371078
-5,551,504.020398
-1,836,504.931944
-1,861,505.895481
-4,471,506.368716
-2,785,507.178551
-1,851,508.041533
-2,703,508.780197
-2,894,509.73706
-2,795,510.594485
-3,574,511.199865
1,873,512.166054
-3,589,512.766805
1,795,513.641765
-3,618,514.281662
-2,724,515.001739
-3,595,515.580651
-2,988,516.542945
-5,403,516.898991
-4,691,517.502379
-3,789,518.29868
-1,1004,519.397563
-3,615,520.049179
-2,657,520.696782
-4,572,521.285145
-2,920,522.216335
2,1119,523.315999
-4,530,523.861315
-4,808,524.666737
3,764,525.485603
-3,995,526.571582
-1,811,527.435112
-3,626,528.031518
-4,687,528.678312
-3,625,529.306135
-5,435,529.708062
-3,614,530.315959
-5,380,530.659366
-3,705,531.273611
-4,550,531.776704
-3,777,532.464139
1,977,533.376646
-5,424,533.780938
-4,487,534.244347
3,613,534.819931
2,968,535.737324
-3,668,536.42579
1,938,537.385016
-2,801,538.21213
-2,1076,539.329107
-4,916,540.248157
1,959,541.284822
2,900,542.197916
-2,845,543.046504
-3,621,543.6896
-4,623,544.358446
-5,450,545.160977
-3,766,545.7702
-1,813,546.459357
-3,607,546.925292
-4,690,547.486447
-1,869,548.128053
-4,509,548.602782
-3,764,549.196253
-2,663,549.699906
-5,463,550.09884
-3,801,550.750546
-3,768,551.332898
-3,883,552.002268
-5,528,552.445748
1,855,553.09225
-5,579,553.532539
-2,673,553.996652
-3,651,554.454374
-3,623,554.933109
-5,520,555.333162
-1,811,556.036352
-3,785,556.667657
-5,461,557.056616
-3,769,557.623268
-2,916,558.386227
-2,982,559.070254
-5,397,559.348607
-2,745,559.854955
-5,474,560.198402
-4,551,560.597556
-1,855,561.269125
-2,697,561.77881
-5,539,562.172755
2,751,562.738242
2,774,563.34074
1,1129,564.213805
-3,762,564.833376
-5,580,565.264597
-2,742,565.800215
-3,778,566.399094
-4,640,566.853483
2,895,567.498306
-3,698,568.002184
-4,539,568.402176
-5,408,568.692977
-2,715,569.202011
-3,690,569.716277
-2,715,570.210009
-3,995,570.91159
-3,673,571.403359
-3,783,571.970303
-4,594,572.400634
-4,629,572.854971
-3,665,573.366729
-3,661,573.849652
-5,516,574.268687
-1,851,574.929072
-3,613,575.433723
-5,476,575.898205
-2,872,576.52755
