#{"t_start": 1669935032.9009788, "env_id": null}
r,l,t
-2,883,1745.193351
-3,551,1745.702789
-2,703,1746.394727
-3,704,1747.050454
-5,600,1747.637785
-2,940,1748.527129
-3,627,1749.131571
-4,721,1749.794583
1,990,1750.719569
-2,735,1751.401508
4,540,1751.923554
3,833,1752.743573
-2,741,1753.433179
1,1006,1754.370608
4,600,1754.931526
-4,517,1755.443379
1,945,1756.425072
-3,602,1757.104128
-3,718,1757.855747
-5,367,1758.255167
2,697,1758.971147
2,950,1759.921625
2,817,1760.671935
-1,756,1761.360097
2,769,1762.06025
-1,971,1762.989711
-1,716,1763.649521
-3,623,1764.276087
-2,675,1764.923928
-2,640,1765.503776
-1,922,1766.38086
-3,716,1767.03612
-3,573,1767.617988
-5,507,1768.11398
-4,574,1768.639575
-4,553,1769.176975
2,896,1770.036189
1,867,1770.836949
-1,855,1771.608885
-5,494,1772.087822
-4,654,1772.735878
-3,612,1773.387882
-2,755,1774.094455
-4,583,1774.696536
-4,490,1775.178191
-1,893,1776.074748
4,538,1776.60016
-3,609,1777.169557
-5,433,1777.572636
-2,687,1778.26738
4,565,1778.798366
-2,780,1779.500895
-5,490,1780.006913
-1,846,1780.882246
3,716,1781.579019
-5,480,1782.024694
-4,722,1782.687541
5,394,1783.039598
-1,797,1783.756681
1,844,1784.702223
-2,823,1785.531321
4,541,1786.072221
-5,378,1786.452093
-3,605,1787.071958
-5,498,1787.581111
-1,924,1788.494092
-3,688,1789.238678
-5,478,1789.857911
-3,780,1790.491119
-5,425,1790.819081
-4,567,1791.228437
-3,621,1791.707162
-3,767,1792.272328
-3,556,1792.663187
-4,478,1792.991689
-2,814,1793.587481
-4,699,1794.128507
3,828,1794.730013
3,706,1795.232163
-2,662,1795.693679
3,637,1796.135546
2,700,1796.651407
-3,662,1797.149883
-4,513,1797.536917
2,855,1798.238376
-2,647,1798.71353
1,796,1799.396701
-1,956,1800.103517
-1,879,1800.855172
-4,527,1801.257904
-2,727,1801.77193
-3,761,1802.314815
-1,772,1802.870975
-3,639,1803.329923
-1,910,1803.987135
-4,559,1804.384021
1,925,1805.069734
-3,678,1805.581448
-2,763,1806.146078
-3,607,1806.588972
-2,723,1807.097455
-2,671,1807.801607
-1,997,1808.512885
-4,590,1808.938154
-3,822,1809.538641
-3,668,1810.00043
-3,727,1810.515229
-3,735,1811.055957
-2,682,1811.550055
-2,669,1812.064954
-4,530,1812.450461
1,794,1813.076594
-1,787,1813.667291
-4,487,1814.029787
-1,833,1814.651547
-2,751,1815.215845
-2,746,1815.772101
-4,517,1816.15785
-4,528,1816.530557
-5,635,1816.99643
-3,685,1817.506982
-4,605,1817.950121
-2,773,1818.499649
-1,853,1819.094062
-3,631,1819.588576
-3,658,1820.05433
-4,522,1820.413369
-2,716,1820.965385
-5,450,1821.326643
1,787,1821.899433
-2,783,1822.463391
3,758,1823.007105
-4,670,1823.478214
-1,768,1824.014399
2,885,1824.690782
-1,839,1825.401619
2,750,1825.971058
-1,847,1826.627269
-2,788,1827.215412
-2,654,1827.683194
4,700,1828.185619
-1,824,1828.778681
2,806,1829.342302
-4,498,1829.693746
-3,602,1830.112606
-3,564,1830.520119
-1,821,1831.144078
-3,683,1831.661968
-4,513,1832.067578
-1,819,1832.669937
1,859,1833.313205
-1,930,1834.018662
1,819,1834.613182
-2,767,1835.172057
-1,765,1835.740753
-1,859,1836.351164
-1,834,1836.991231
-4,645,1837.461233
-1,819,1838.07825
2,756,1838.624746
3,648,1839.091367
-2,672,1839.595316
1,877,1840.262177
3,667,1840.765155
-1,798,1841.358982
-2,738,1841.876377
2,663,1842.375473
-1,773,1843.279021
-2,704,1844.008279
-1,898,1844.889124
-5,393,1845.274152
1,884,1846.225331
-2,727,1846.949316
-4,553,1847.472939
1,789,1848.224363
3,571,1848.780397
-1,1040,1849.764449
-4,543,1850.257131
-4,504,1850.717898
-2,840,1851.491542
-3,589,1852.096289
1,971,1853.123633
-3,759,1853.868188
1,788,1854.666668
-5,477,1855.111478
2,867,1855.918636
-5,602,1856.459191
-2,843,1857.261586
1,942,1858.223793
-2,706,1858.882263
-1,869,1859.691979
2,788,1860.401081
-4,536,1860.886781
-3,816,1861.638772
-3,748,1862.396018
-5,428,1862.788018
4,550,1863.310322
-3,759,1864.048726
-4,557,1864.575559
-4,537,1865.065858
-5,368,1865.4016
5,716,1866.093376
-3,624,1866.693779
-3,625,1867.254279
-4,469,1867.698348
4,544,1868.222907
4,493,1868.730205
3,647,1869.4401
-3,635,1870.054396
-4,549,1870.657035
-1,883,1871.537798
1,938,1872.440203
3,726,1873.117493
-3,704,1873.819278
-4,500,1874.269073
-2,690,1874.892409
-2,704,1875.924397
-2,840,1876.801292
-4,566,1877.365119
-1,737,1878.093083
-2,800,1878.827177
-4,537,1879.320019
-5,454,1879.736902
-2,774,1880.46112
-5,382,1880.834793
-2,768,1881.567832
2,1001,1882.471417
-2,701,1883.137633
2,740,1883.870468
1,787,1884.624717
-1,981,1885.59479
-3,762,1886.343343
2,707,1886.985516
-1,953,1887.966418
2,781,1888.703666
-3,875,1889.513749
-2,773,1890.263532
-3,572,1890.819324
1,982,1891.713218
-3,685,1892.343937
-4,503,1892.839748
-5,408,1893.244143
-2,928,1894.154873
-2,774,1894.852034
2,738,1895.56211
-1,789,1896.416824
-3,733,1897.385413
-4,557,1897.945914
-4,510,1898.536335
-3,842,1899.489491
-2,918,1900.459054
1,814,1901.345629
-3,607,1901.909693
-4,634,1902.483747
-3,728,1903.119048
4,683,1903.716449
-4,868,1904.466445
-4,500,1905.01797
-2,704,1905.878232
-4,510,1906.364931
-1,795,1907.250561
-5,381,1907.713883
-2,788,1908.599513
-1,869,1909.470184
-5,520,1910.006751
-3,670,1910.694385
2,769,1911.515299
-4,666,1912.159578
-4,499,1912.906578
-5,392,1913.424194
-2,843,1914.306178
-3,824,1915.062156
-2,704,1915.710788
4,573,1916.228462
-2,836,1917.038057
4,586,1917.611928
-3,580,1918.167419
-3,686,1918.86615
-3,655,1919.566613
-2,702,1920.237816
3,635,1920.864601
-1,825,1921.68077
-3,553,1922.178463
-5,572,1922.702749
-2,742,1923.541799
-2,767,1924.339502
1,887,1925.161951
-2,728,1925.888012
3,607,1926.473449
-2,718,1927.133443
2,698,1927.822417
-2,791,1928.582633
-1,770,1929.348783
-5,397,1929.752654
-3,558,1930.312135
-1,925,1931.193599
-1,972,1932.076838
5,483,1932.553626
-2,681,1933.238664
-4,524,1933.742278
-3,677,1934.408942
-2,716,1935.095428
-5,441,1935.524531
-3,659,1936.141235
3,580,1936.675124
-4,566,1937.242584
4,619,1937.808959
3,612,1938.368846
-2,778,1939.104124
4,546,1939.601876
-5,434,1940.001016
-3,574,1940.528224
-4,545,1941.141783
3,630,1941.638546
-3,718,1942.145242
5,480,1942.483759
1,797,1943.049652
3,714,1943.582275
-2,774,1944.165
-2,723,1944.716427
-1,952,1945.415722
3,666,1945.913468
-2,692,1946.437892
2,941,1947.10853
-2,687,1947.650985
1,887,1948.334733
-4,534,1948.743752
-4,522,1949.186207
-2,707,1949.686266
-4,512,1950.051787
-5,557,1950.464052
1,896,1951.133309
-1,840,1951.725599
-2,656,1952.222144
1,807,1952.819939
-5,459,1953.164213
-4,660,1953.659159
-3,608,1954.113981
-2,720,1954.652621
1,915,1955.317462
-1,701,1955.819868
1,819,1956.492069
1,952,1957.225349
-2,720,1957.791077
-3,558,1958.206484
-3,665,1958.731375
-2,627,1959.184685
1,848,1959.816925
3,648,1960.286359
-1,903,1960.941145
-5,517,1961.305463
1,895,1961.947621
-1,853,1962.587675
4,547,1962.996769
-5,407,1963.313922
-2,732,1963.852492
-5,424,1964.155249
-3,580,1964.584693
-2,708,1965.132205
1,920,1965.850985
-2,846,1966.504399
-4,563,1966.899712
-1,1038,1967.648081
-5,443,1967.949276
-2,810,1968.558554
1,783,1969.132982
3,736,1969.777194
-3,625,1970.247535
-2,640,1970.775123
-2,737,1971.307584
2,822,1971.933803
-4,590,1972.381495
-3,603,1972.844562
-4,545,1973.235819
-2,955,1973.949
-3,656,1974.416995
-2,669,1974.895024
-3,645,1975.358879
-3,668,1975.854856
-3,615,1976.281523
2,758,1976.797145
-2,757,1977.310771
3,652,1977.755582
3,714,1978.264753
-2,793,1978.844018
3,556,1979.251131
-2,817,1979.832311
3,604,1980.269531
-1,819,1980.863371
-1,760,1981.437418
3,619,1981.842069
5,600,1982.261953
-1,837,1982.832429
-3,631,1983.259285
1,906,1983.884336
-2,669,1984.367939
-5,454,1984.685386
2,869,1985.290073
3,668,1985.758171
-4,604,1986.185238
1,849,1986.768667
-4,532,1987.13933
-5,507,1987.512498
-4,543,1987.905314
-1,831,1988.487757
-4,599,1988.912935
-3,575,1989.320984
-3,583,1989.746604
-2,650,1990.205872
-2,817,1990.806587
-3,578,1991.236371
-5,425,1991.542816
3,733,1992.071014
-2,821,1992.822948
-2,716,1993.49523
-3,637,1994.11075
-2,733,1994.773923
-2,773,1995.503168
-2,751,1996.222139
2,850,1997.017192
-2,675,1997.690741
-2,763,1998.448905
-4,573,1998.972682
5,550,1999.510002
-2,758,2000.257146
-2,700,2000.886089
-2,721,2001.541067
-3,737,2002.196498
-5,620,2002.739046
-3,638,2003.326964
-4,563,2003.834793
-5,402,2004.222171
-5,838,2005.079025
-3,717,2005.74464
-3,928,2006.606677
-5,588,2007.228493
-3,890,2008.090264
-5,570,2008.606544
-1,1049,2009.568451
1,829,2010.308874
-1,859,2011.080248
-2,904,2011.944589
1,833,2012.728686
-2,753,2013.501249
3,782,2014.243757
-4,670,2014.901607
2,736,2015.599517
-1,897,2016.414938
-4,538,2016.980269
-2,793,2017.756468
-1,925,2018.594957
4,533,2019.113484
-1,940,2019.947824
-4,481,2020.372687
-1,799,2021.076804
-2,813,2021.868798
1,952,2022.718048
-1,886,2023.490982
-5,535,2023.981633
-4,558,2024.496046
-3,630,2025.091139
-1,886,2025.96496
-1,940,2026.822859
-2,748,2027.500002
-1,918,2028.327788
-1,847,2029.169358
-1,1044,2030.184057
2,879,2031.036674
-2,681,2031.64804
-1,830,2032.375094
-4,518,2032.839851
-3,573,2033.357468
-4,619,2033.906997
-4,823,2034.682276
-1,848,2035.430246
-3,586,2035.9474
-2,646,2036.519871
1,794,2037.250915
1,1081,2038.360906
-1,782,2039.095192
3,745,2039.774124
1,787,2040.47924
-2,674,2041.072652
5,459,2041.474576
-3,641,2042.080327
-5,629,2042.632285
-4,458,2043.038199
-4,640,2043.635829
-2,764,2044.329007
-2,922,2045.204188
-4,607,2045.763859
3,672,2046.447696
-4,484,2046.953639
-3,671,2047.566756
-3,670,2048.207633
3,864,2048.972589
-4,574,2049.488207
5,501,2049.956796
-3,704,2050.623183
-2,689,2051.258961
-4,553,2051.747223
3,671,2052.350611
-3,759,2053.031793
-2,651,2053.60927
-4,525,2054.079991
-1,864,2054.839958
3,726,2055.494911
-2,746,2056.223157
1,758,2056.897354
2,849,2057.64336
-1,834,2058.409491
4,590,2058.946094
2,789,2059.66529
-3,602,2060.224092
-3,612,2060.813191
-2,631,2061.544756
-4,575,2062.081165
-5,384,2062.435217
2,807,2063.164861
1,1009,2064.328816
1,801,2065.086681
1,982,2065.950384
-1,814,2066.691912
-3,633,2067.307135
-3,707,2067.948801
3,588,2068.467404
2,788,2069.186953
2,675,2069.795896
-5,404,2070.225335
-4,552,2070.78532
-5,414,2071.170052
-1,875,2072.006893
-4,609,2072.647168
-5,449,2073.112945
-3,560,2073.672513
-2,749,2074.391756
-3,624,2074.955364
2,708,2075.585302
-4,566,2076.102385
5,546,2076.590938
2,747,2077.33049
2,747,2078.043143
-4,589,2078.588682
-1,774,2079.27784
1,785,2079.982955
1,796,2080.703027
-2,810,2081.422104
2,691,2082.030478
-3,639,2082.597549
-4,484,2083.025405
-1,909,2083.860451
-1,781,2084.572214
1,745,2085.268537
2,968,2086.111986
3,757,2086.655025
-2,682,2087.133908
2,673,2087.635134
1,876,2088.974871
4,523,2089.337442
-2,772,2089.888688
4,532,2090.274936
-2,651,2090.739145
-3,596,2091.143064
-1,825,2091.699577
-2,826,2092.284096
-2,743,2092.866241
-4,594,2093.315735
-2,680,2093.816754
3,763,2094.391101
1,778,2094.92268
-4,475,2095.265266
-2,730,2095.800518
3,630,2096.226381
-1,868,2096.827703
2,740,2097.343865
-1,882,2097.941269
-3,746,2098.446918
-3,611,2098.87078
2,689,2099.359215
2,807,2099.911458
-2,890,2100.538473
-2,716,2101.039369
-3,633,2101.478802
-5,425,2101.769026
-4,564,2102.164966
1,778,2102.725792
3,618,2103.172402
-1,770,2103.712027
2,676,2104.1708
-4,511,2104.513881
-4,521,2104.896649
-4,563,2105.301268
3,611,2105.713166
-1,700,2106.211071
-3,603,2106.62284
-3,578,2107.023227
-1,811,2107.603783
4,573,2108.003713
-3,615,2108.434753
-2,726,2108.983938
3,606,2109.437861
2,705,2109.917047
-5,466,2110.259414
-4,543,2110.626435
-5,421,2110.918338
-3,540,2111.303857
-4,524,2111.68577
-3,605,2112.120787
-1,832,2112.69352
-3,615,2113.130952
-4,540,2113.496157
2,756,2114.018523
3,738,2114.555615
2,684,2115.034151
-2,678,2115.512732
-4,490,2115.874099
-4,535,2116.261591
-1,806,2116.805205
-2,629,2117.258489
-3,774,2117.81688
-5,443,2118.133068
-1,877,2118.745982
2,755,2119.260429
-2,753,2119.845876
-3,665,2120.370461
-4,513,2120.742733
-4,570,2121.194749
-1,748,2121.817085
-1,855,2122.509314
-1,722,2123.073189
-3,612,2123.512368
4,698,2124.011354
-2,639,2124.47381
-2,700,2125.03121
4,563,2125.442109
-4,571,2125.858623
1,889,2126.54379
-3,680,2127.012637
-2,680,2127.496346
-3,615,2127.928815
2,701,2128.40788
-1,950,2129.074905
-1,866,2129.705804
4,645,2130.204314
-4,535,2130.583838
1,859,2131.176137
-2,675,2131.656718
4,546,2132.036028
-1,846,2132.619087
-1,877,2133.214193
-3,562,2133.613569
-4,642,2134.047406
-2,799,2134.597806
3,660,2135.213651
-1,915,2136.044816
-3,598,2136.5816
-2,848,2137.393862
-1,1502,2138.81257
-4,527,2139.288455
-4,494,2139.732267
-3,599,2140.259857
1,848,2141.061297
-1,848,2141.872276
-3,624,2142.517937
-2,682,2143.201369
-3,630,2143.763734
1,955,2144.659769
1,752,2145.336698
-3,608,2145.98454
-3,637,2146.570695
-1,893,2147.440486
-2,752,2148.141315
-4,512,2148.597079
-4,480,2149.032035
-2,789,2149.811766
4,617,2150.373709
-1,756,2151.080431
3,618,2151.633951
1,785,2152.322109
3,722,2152.961419
-1,828,2153.683469
-4,585,2154.215743
-1,779,2154.900887
-3,564,2155.396563
1,906,2156.728692
-3,636,2157.384448
-3,674,2158.029248
-1,842,2158.787907
-1,877,2159.570491
-3,720,2160.253819
-2,905,2161.108121
4,548,2161.6109
3,575,2162.20228
-2,653,2162.820048
1,1048,2163.772318
-5,419,2164.14539
3,605,2164.731712
-1,1088,2165.711304
-3,823,2166.459728
-2,821,2167.224182
-4,587,2167.769075
2,911,2168.65874
-5,367,2168.975885
-4,736,2169.651061
-2,714,2170.279381
-4,554,2170.781851
4,559,2171.284899
2,737,2172.009778
-1,795,2172.789058
4,552,2173.371606
-2,711,2174.047197
1,773,2174.829519
-1,1040,2175.769855
-4,533,2176.309343
-4,641,2176.900389
-2,686,2177.503803
-2,674,2178.097215
-4,489,2178.536041
-1,745,2179.226609
-4,526,2179.781506
3,687,2180.452682
-3,617,2181.001213
2,708,2181.63053
-4,450,2182.043968
1,853,2182.841033
-4,577,2183.360801
-5,443,2183.787345
-2,657,2184.371428
-3,625,2184.960408
-1,823,2185.713265
-5,474,2186.145727
-2,743,2186.875519
-4,547,2187.444055
-2,763,2188.245911
-3,616,2188.873245
1,754,2189.645532
-3,686,2190.386604
-4,541,2190.932145
-5,396,2191.32609
2,805,2192.09703
-3,647,2192.740309
-3,721,2193.486314
-4,564,2194.054648
-3,603,2194.607168
2,713,2195.228506
-2,784,2195.933096
-3,602,2196.47376
1,769,2197.149956
-2,680,2197.805753
4,500,2198.311193
4,556,2198.806868
-3,637,2199.368367
2,876,2200.163241
-2,718,2200.844443
-3,770,2201.56843
-5,429,2201.952949
-3,582,2202.465167
-4,517,2202.941894
1,1068,2203.921346
-3,623,2204.484323
4,523,2204.979997
-3,700,2205.685949
-5,390,2206.083915
-2,643,2206.730596
-4,574,2207.33754
3,680,2208.033644
-2,765,2208.720491
-4,563,2209.230035
-2,835,2209.994729
-2,912,2210.796608
-2,901,2211.655628
-1,937,2212.606904
-3,735,2213.270729
-1,906,2214.138821
-2,840,2214.924537
-2,846,2215.668547
2,757,2216.349725
-3,579,2216.861357
-5,475,2217.283229
-2,720,2217.94913
3,651,2218.527881
-2,627,2219.136099
-2,753,2219.801321
-4,566,2220.314407
5,506,2220.763453
-4,509,2221.28578
-1,833,2222.076368
5,520,2222.55532
-2,761,2223.223535
-2,769,2223.911692
-1,770,2224.597716
-4,551,2225.091428
-1,782,2225.803453
-5,439,2226.194432
5,422,2226.569406
-2,709,2227.19174
-3,790,2227.942397
-5,457,2228.42071
-1,831,2229.332356
-5,430,2229.64586
-2,706,2230.155393
-2,735,2230.660846
2,745,2231.169827
2,1130,2231.976759
-4,601,2232.420076
1,892,2233.067281
-1,806,2233.63589
-2,732,2234.156745
-2,876,2234.794266
4,704,2235.271988
-3,592,2235.683853
-4,567,2236.065833
4,599,2236.480136
4,920,2237.175751
1,770,2237.726752
-3,714,2238.239182
1,806,2238.818609
-1,845,2239.427551
-4,526,2239.822084
2,939,2240.500498
-1,897,2241.107874
1,853,2241.726488
2,740,2242.238293
-3,609,2242.652184
-1,918,2243.280611
-3,734,2243.793511
2,943,2244.455132
3,697,2244.942218
-3,608,2245.377364
3,672,2245.857584
5,452,2246.165759
-2,769,2246.725623
-1,1010,2247.472033
-4,619,2247.900573
-4,457,2248.220418
-3,768,2248.7645
-1,786,2249.298075
-1,811,2249.86057
2,718,2250.363188
1,755,2250.917857
2,809,2251.480568
-1,795,2252.061114
-3,680,2252.56157
-2,777,2253.175541
-2,824,2253.752378
-5,413,2254.056468
-4,519,2254.412516
1,1053,2255.153905
2,791,2255.698243
-2,675,2256.16886
-2,777,2256.706784
-3,697,2257.212344
-5,456,2257.535945
2,698,2258.029331
1,856,2258.657847
4,537,2259.043588
-3,717,2259.557559
-4,552,2259.953162
-3,672,2260.414482
-1,910,2261.073182
-1,879,2261.683443
3,723,2262.196594
1,822,2262.791441
-4,605,2263.245162
3,839,2263.83631
-1,888,2264.455846
-4,523,2264.834359
2,931,2265.501109
-4,519,2265.897546
-1,832,2266.499657
-3,765,2267.072465
-3,578,2267.498512
-3,644,2267.968582
-4,481,2268.328067
-3,645,2268.801506
-1,867,2269.45414
-1,935,2270.106296
-2,662,2270.56108
-3,839,2271.147831
-4,684,2271.64264
-2,766,2272.173608
-4,539,2272.547878
-4,615,2272.975878
-5,448,2273.288169
-2,900,2273.929862
-2,805,2274.492977
-3,546,2274.890561
-4,483,2275.218982
-4,526,2275.591363
-2,763,2276.112141
-2,905,2276.756623
1,915,2277.393398
-4,466,2277.726234
-3,735,2278.237662
4,546,2278.617086
1,862,2279.205483
-1,1042,2279.936476
-3,625,2280.374005
-4,681,2281.041095
-3,759,2282.609697
-3,628,2283.206235
-2,914,2284.129442
2,780,2284.818098
-5,466,2285.316164
-1,907,2286.203913
-3,566,2286.717532
3,714,2287.344788
-2,825,2288.070846
2,774,2288.755016
-1,876,2289.544904
-1,831,2290.311853
2,797,2291.009986
-4,525,2291.51156
-3,743,2292.261691
-3,789,2292.99118
-1,862,2293.75511
-3,685,2294.356526
-4,546,2294.881371
-3,716,2295.52877
1,846,2296.290732
3,605,2296.832869
-2,909,2297.659322
-3,770,2298.349613
2,758,2299.024807
-2,654,2299.609296
-3,591,2300.146856
4,634,2300.716335
3,707,2301.413333
-4,562,2301.931283
-1,842,2302.713192
1,945,2303.570208
-3,689,2304.207495
1,894,2304.997697
-5,465,2305.416577
-5,445,2305.816505
2,929,2306.631326
1,872,2307.420846
-5,371,2307.745285
-2,794,2308.525233
-3,658,2309.121003
-3,724,2309.779523
-1,805,2310.544915
-5,515,2311.024499
-3,590,2311.609414
-4,705,2312.256967
-5,424,2312.626978
3,776,2313.30937
-1,1057,2314.279707
-3,662,2314.934576
3,738,2315.625871
4,614,2316.162404
-5,554,2316.649696
-4,671,2317.324652
-5,484,2317.785465
1,806,2318.571317
-4,516,2319.064522
2,717,2319.74908
-3,522,2320.259769
1,1017,2321.204377
3,607,2321.808873
1,935,2322.745917
-4,657,2323.406132
-4,554,2323.940023
-1,820,2324.69928
-1,859,2325.456256
-4,492,2325.94826
-3,652,2326.523113
2,792,2327.257313
-1,834,2328.023704
5,552,2328.513396
-3,559,2329.050153
1,813,2329.780113
2,950,2330.761296
-4,609,2331.355524
1,828,2332.084575
-5,451,2332.480516
-3,707,2333.173504
1,822,2333.959501
3,693,2334.651776
-3,735,2335.303035
-4,614,2335.849575
-2,746,2336.528068
2,734,2337.171366
-3,676,2337.776842
-1,917,2338.587421
-3,713,2339.247889
-4,539,2339.763244
-3,655,2340.369257
1,913,2341.171114
-3,537,2341.655643
-3,649,2342.287493
-3,700,2342.947435
-3,604,2343.522517
4,557,2344.012195
-1,1159,2345.091685
-1,1016,2346.014321
-2,936,2346.879612
-4,495,2347.312455
2,748,2347.991402
-3,605,2348.572949
2,775,2349.396251
-3,680,2350.025527
-1,788,2350.734693
3,658,2351.31913
3,654,2351.924463
-5,457,2352.361887
-2,741,2353.071562
-5,497,2353.537758
-5,425,2353.935083
-3,670,2354.589121
-3,710,2355.259102
5,434,2355.684187
-5,399,2356.056726
-5,491,2356.485579
-3,998,2357.396144
-5,410,2357.83215
2,638,2358.482316
-4,597,2359.085704
-2,685,2359.769657
-4,548,2360.259348
2,787,2360.96748
-3,649,2361.532947
-2,810,2362.303264
-2,795,2362.997409
2,645,2363.56888
-2,732,2364.224125
-3,645,2364.790623
-2,737,2365.529006
-3,674,2366.143234
-1,870,2366.984934
-1,912,2367.906672
-5,525,2368.392278
2,864,2369.167768
-3,644,2369.818378
-3,625,2370.411715
-5,438,2370.80469
-2,733,2371.453713
-2,694,2372.164315
4,534,2372.663116
-1,751,2373.381452
-1,899,2374.188034
-1,711,2374.791475
3,719,2375.299283
-1,805,2375.866905
-3,577,2376.275536
-1,842,2376.87047
-5,472,2377.201054
-2,780,2377.835313
2,667,2378.290871
1,858,2378.871902
-4,643,2379.333861
-1,881,2379.957712
4,545,2380.349537
2,803,2380.92119
2,741,2381.47721
1,837,2382.072922
2,743,2382.623541
-1,842,2383.209901
4,606,2383.623793
-3,709,2384.131183
-2,755,2384.659728
4,628,2385.096127
-3,668,2385.590804
-2,716,2386.097821
1,822,2386.736643
1,933,2387.437973
-2,670,2387.912744
-4,562,2388.312249
-3,607,2388.758428
-4,681,2389.241615
-3,665,2389.716373
2,840,2390.306212
-2,670,2390.76164
1,743,2391.265534
-2,760,2391.807357
3,616,2392.222223
-3,613,2392.647374
-3,579,2393.045272
3,696,2393.535049
-1,746,2394.075056
-3,680,2394.555993
1,825,2395.116494
-5,377,2395.38857
-4,591,2395.801543
-2,685,2396.291541
-1,939,2396.972636
-1,983,2397.680239
-1,976,2398.387583
-3,612,2398.82822
3,698,2399.34287
-2,718,2399.859114
-3,575,2400.250572
-2,655,2400.705103
-1,825,2401.257626
-3,717,2401.763182
1,1052,2402.507629
-4,613,2402.953402
2,824,2403.534503
3,650,2403.994576
2,836,2404.59773
-5,447,2404.918888
-3,600,2405.335943
-3,560,2405.729955
-4,481,2406.077547
-1,793,2406.638627
-2,769,2407.176377
4,581,2407.581392
2,712,2408.098138
-2,751,2408.634618
2,782,2409.179094
-3,777,2409.715681
1,786,2410.263501
-3,721,2410.779531
-4,623,2411.223736
-3,584,2411.634814
-1,733,2412.137231
-3,745,2412.65817
-1,841,2413.328979
-4,658,2413.791458
-1,808,2414.364527
-4,565,2414.762536
-2,784,2415.317229
-3,717,2415.825541
1,895,2416.453203
-3,696,2416.945533
4,645,2417.379366
2,707,2417.887673
4,584,2418.288681
-2,726,2418.783358
2,764,2419.315234
-5,432,2419.674355
-5,397,2419.952336
-4,579,2420.34728
-1,848,2420.921743
-3,670,2421.373536
-1,797,2421.935346
1,810,2422.502391
1,874,2423.123946
-3,700,2423.64547
-1,747,2424.175338
-5,397,2424.459482
4,628,2425.066965
