explained_variance,total_timesteps,fps,policy_entropy,nupdates,value_loss,ep_reward_mean,ep_len_mean
-0.9811125993728638,397500,733,1.9977314472198486,79500,0.0005995961255393922,-2.22,729.91
-2.334390163421631,398000,734,2.0397443771362305,79600,1.7429543959224247e-06,-2.22,729.91
0.07232147455215454,398500,734,1.9856014251708984,79700,0.44682779908180237,-2.2,731.16
0.5314293205738068,399000,734,2.0597026348114014,79800,0.00012492595124058425,-2.19,729.71
-1.668959617614746,399500,734,2.0587592124938965,79900,0.001007431885227561,-2.19,729.71
-478.9755859375,400000,670,2.046206474304199,80000,0.04237043112516403,-2.18,728.69
-16.151092529296875,400500,670,2.0580992698669434,80100,8.966518362285569e-05,-2.18,728.69
0.19807910919189453,401000,670,2.0531606674194336,80200,0.0005539742996916175,-2.13,727.53
-13.035356521606445,401500,671,2.0247788429260254,80300,0.000561238790396601,-2.16,722.68
0.655043214559555,402000,671,2.0046684741973877,80400,0.0009741227841004729,-2.16,722.68
-3.950528621673584,402500,671,2.041200876235962,80500,0.000969578220974654,-2.21,718.85
-72.70708465576172,403000,672,2.0430243015289307,80600,0.0002263811620650813,-2.21,717.41
-20.669902801513672,403500,672,2.0507216453552246,80700,0.001185065135359764,-2.16,716.43
-4.618679523468018,404000,672,2.055243968963623,80800,0.0003982227644883096,-2.15,716.13
-4.372461795806885,404500,672,2.0710322856903076,80900,0.00014876003842800856,-2.15,716.13
-80.68869018554688,405000,673,2.0685646533966064,81000,0.001989980461075902,-2.19,717.44
0.6893531680107117,405500,673,2.0741477012634277,81100,7.404586358461529e-05,-2.19,719.02
-169.6205596923828,406000,673,2.0701346397399902,81200,0.0001169195311376825,-2.19,719.02
0.9531279988586903,406500,673,2.0491645336151123,81300,0.00011440424714237452,-2.2,718.34
-4.270517826080322,407000,673,2.074030637741089,81400,0.0003916163113899529,-2.21,718.38
-309.5778503417969,407500,674,2.0441877841949463,81500,0.07246001809835434,-2.23,714.43
