loss_vf_loss,loss_ent,EpRewMean,EpThisIter,loss_kl,loss_pol_entpen,EpisodesSoFar,loss_pol_surr,TimeElapsed,TimestepsSoFar,EpLenMean,ev_tdlam_before
0.009731032,1.4607831,-4.89,5,0.007791753,0.0,297,-0.017331418,141.7197461128235,204800,746.49,0.8558613955974579
0.010912518,1.434387,-4.89,5,0.006594713,0.0,302,-0.015411932,143.52576613426208,208896,750.95,0.8452596366405487
0.011259342,1.5250117,-4.89,6,0.0051710154,0.0,308,-0.0143449465,146.10507655143738,212992,749.23,0.8483831137418747
0.009832418,1.4605347,-4.91,5,0.00736902,0.0,313,-0.0145341065,148.22592425346375,217088,756.38,0.851648285984993
0.010185655,1.4919888,-4.93,6,0.00637404,0.0,319,-0.015366182,150.4459216594696,221184,754.06,0.839336097240448
0.012205667,1.4956452,-4.92,6,0.006322413,0.0,325,-0.014139522,152.22492384910583,225280,745.9,0.783078595995903
0.010198238,1.4563895,-4.92,6,0.007263572,0.0,331,-0.0155665465,154.23992252349854,229376,749.0,0.8734091818332672
0.009554549,1.4501716,-4.92,6,0.0065522473,0.0,337,-0.01690939,156.2469220161438,233472,752.98,0.8792872875928879
0.00896993,1.4211522,-4.93,6,0.0066699865,0.0,343,-0.01739698,158.05692315101624,237568,750.89,0.889279879629612
0.011089351,1.4402816,-4.93,6,0.006255765,0.0,349,-0.018239245,160.03092193603516,241664,747.95,0.8566701263189316
0.008992681,1.4046658,-4.93,5,0.007458733,0.0,354,-0.016647158,162.25892424583435,245760,747.84,0.8656005859375
0.014329508,1.392797,-4.93,6,0.0075658066,0.0,360,-0.016910622,164.01692247390747,249856,744.09,0.8099550306797028
0.01053626,1.3827337,-4.92,6,0.006133455,0.0,366,-0.01524136,165.79592561721802,253952,746.05,0.8550364524126053
0.008768259,1.3463012,-4.93,5,0.0067426,0.0,371,-0.018539395,167.57792401313782,258048,752.42,0.878904178738594
0.012212911,1.3374469,-4.92,5,0.0054359096,0.0,376,-0.014720628,169.46992349624634,262144,749.81,0.847766637802124
0.011728135,1.3389238,-4.91,6,0.0075543495,0.0,382,-0.0170752,171.74992108345032,266240,743.96,0.8375505357980728
0.011564997,1.3326833,-4.9,5,0.0050155804,0.0,387,-0.012891417,173.62176418304443,270336,740.83,0.8511110097169876
0.009539171,1.2778765,-4.91,5,0.007630929,0.0,392,-0.01601296,175.3992884159088,274432,739.37,0.8606906831264496
0.00950678,1.3002796,-4.91,6,0.0064253653,0.0,398,-0.015842117,177.41429042816162,278528,726.35,0.8539533913135529
0.0128414165,1.2842357,-4.9,6,0.0060622245,0.0,404,-0.014766038,179.5517861843109,282624,723.46,0.8351132720708847
0.013041973,1.2006102,-4.89,6,0.006915469,0.0,410,-0.017284703,181.47868132591248,286720,727.62,0.8262065351009369
