loss_vf_loss,ev_tdlam_before,EpisodesSoFar,EpThisIter,loss_ent,loss_pol_entpen,TimestepsSoFar,EpLenMean,EpRewMean,TimeElapsed,loss_kl,loss_pol_surr
0.011983293,0.8445722460746765,6175,7,0.42447722,0.0,4546560,787.81,4.06,4459.611170053482,0.002130343,-0.013723305
0.012028083,0.8141137510538101,6180,5,0.5810868,0.0,4550656,781.34,4.13,4462.220545291901,0.0026763154,-0.01608927
0.012076321,0.7844703942537308,6186,6,0.5283937,0.0,4554752,766.73,4.18,4464.939294576645,0.0024623568,-0.016336162
0.012481074,0.8394031375646591,6192,6,0.5262178,0.0,4558848,770.95,4.17,4467.4549198150635,0.0025054973,-0.015077524
0.011343866,0.8555803298950195,6198,6,0.532695,0.0,4562944,770.12,4.18,4469.892419576645,0.0026271695,-0.015441321
0.017765462,0.7965924590826035,6202,4,0.60850066,0.0,4567040,770.17,4.13,4472.336628913879,0.002247297,-0.015912553
0.011211224,0.8281904458999634,6206,4,0.5910661,0.0,4571136,779.61,4.08,4474.758504629135,0.002524404,-0.016531717
0.012995297,0.8358412832021713,6211,5,0.5439261,0.0,4575232,778.82,4.07,4477.196004390717,0.0028338984,-0.015035158
0.011761172,0.8015291839838028,6217,6,0.55725,0.0,4579328,766.92,4.11,4479.633902311325,0.0029550544,-0.01615903
0.011565139,0.871858611702919,6222,5,0.596869,0.0,4583424,774.74,4.09,4482.258900880814,0.0029750846,-0.014690229
0.011310492,0.850916400551796,6226,4,0.64761996,0.0,4587520,777.37,4.09,4484.6876673698425,0.003161065,-0.016783705
0.013947496,0.8213964998722076,6231,5,0.5924455,0.0,4591616,783.27,4.07,4487.328293800354,0.0023178936,-0.015806945
0.013509517,0.8293113857507706,6236,5,0.6146751,0.0,4595712,800.78,4.02,4489.9376673698425,0.0025511312,-0.015173428
0.012348998,0.8575984537601471,6241,5,0.6249095,0.0,4599808,803.82,4.01,4492.432593345642,0.0020200352,-0.013845347
0.01513065,0.8357125073671341,6246,5,0.5316509,0.0,4603904,791.59,4.05,4532.193275690079,0.0026908128,-0.014979236
0.011901159,0.8609267026185989,6251,5,0.56598556,0.0,4608000,776.2,4.1,4534.631173610687,0.0023173443,-0.015494229
0.009987504,0.8514768332242966,6257,6,0.50352675,0.0,4612096,771.79,4.11,4537.3030478954315,0.002168841,-0.014158929
0.015716739,0.8394050151109695,6263,6,0.5806376,0.0,4616192,771.72,4.07,4539.771798610687,0.0025719225,-0.016390463
0.013745237,0.8390245884656906,6267,4,0.61131305,0.0,4620288,784.32,4.02,4542.318673849106,0.0028098812,-0.015079122
0.011796201,0.8942193984985352,6273,6,0.5647298,0.0,4624384,788.61,3.99,4545.021436691284,0.0026613749,-0.015450408
0.010080284,0.8750990331172943,6279,6,0.52155304,0.0,4628480,791.23,3.99,4547.6521627902985,0.0025213219,-0.015448118
0.014550329,0.8191925138235092,6284,5,0.5836114,0.0,4632576,794.97,3.95,4550.224407196045,0.0023914122,-0.0146414
0.016495967,0.7914300709962845,6289,5,0.58853775,0.0,4636672,804.35,3.94,4552.946415185928,0.0025841831,-0.015576787
0.016096259,0.8046981394290924,6294,5,0.5847621,0.0,4640768,808.9,3.89,4555.702203273773,0.00257335,-0.016689409
0.010995631,0.8755056634545326,6299,5,0.53817874,0.0,4644864,805.98,3.88,4558.397790670395,0.002521649,-0.01580981
0.013465736,0.8436369597911835,6305,6,0.55593044,0.0,4648960,795.17,3.95,4561.243546485901,0.0027178943,-0.015626006
0.0140373325,0.8759204372763634,6310,5,0.5416893,0.0,4653056,787.21,4.01,4564.15825843811,0.0023254843,-0.015864655
0.017224362,0.8297481834888458,6315,5,0.6590285,0.0,4657152,788.4,3.97,4566.842527151108,0.0030280421,-0.014929552
0.009877668,0.8307381868362427,6321,6,0.5638514,0.0,4661248,789.46,4.0,4569.546127796173,0.0022675344,-0.016274704
0.015125896,0.8171371668577194,6326,5,0.5340342,0.0,4665344,785.83,3.95,4572.226126670837,0.002599092,-0.016770143
0.014797581,0.8068109899759293,6331,5,0.5983742,0.0,4669440,785.21,3.94,4575.017127037048,0.0027742803,-0.016332721
0.014094826,0.8494348973035812,6336,5,0.6000743,0.0,4673536,776.09,3.95,4577.89212679863,0.0027778344,-0.015330462
0.01327372,0.8502791523933411,6341,5,0.57764405,0.0,4677632,777.83,3.9,4580.49812912941,0.002600554,-0.016434595
0.012753873,0.8386525511741638,6344,3,0.68345207,0.0,4681728,790.88,3.87,4583.184126615524,0.0031549262,-0.016351808
0.011878351,0.857639268040657,6349,5,0.5609037,0.0,4685824,799.88,3.83,4585.792126655579,0.0028096952,-0.014883798
0.010184252,0.8676692098379135,6355,6,0.515629,0.0,4689920,795.73,3.86,4588.4961268901825,0.0030076108,-0.01541743
0.013920847,0.8093174248933792,6359,4,0.60256666,0.0,4694016,802.18,3.85,4591.178127527237,0.0025683246,-0.015110429
0.012796231,0.8825881630182266,6366,7,0.54126006,0.0,4698112,790.4,3.89,4594.011446475983,0.0018618159,-0.0149405375
0.012585142,0.8519976139068604,6370,4,0.6218798,0.0,4702208,801.66,3.94,4634.681773424149,0.002518826,-0.014312367
0.009451951,0.8529487103223801,6375,5,0.5961992,0.0,4706304,809.24,3.95,4637.2877876758575,0.003248436,-0.014947472
0.0076407394,0.8839944750070572,6379,4,0.6672017,0.0,4710400,816.01,3.95,4639.884640216827,0.0026825357,-0.015360283
0.011011287,0.8589835613965988,6384,5,0.5795381,0.0,4714496,819.53,3.98,4642.6585557460785,0.0026103908,-0.015609164
0.010207418,0.8686433732509613,6389,5,0.6026984,0.0,4718592,814.25,4.02,4645.330399274826,0.0034725724,-0.016786864
0.013345283,0.8414647728204727,6394,5,0.6471603,0.0,4722688,813.21,4.06,4648.10405087471,0.0026706,-0.014414871
0.01229112,0.8053640127182007,6399,5,0.6153069,0.0,4726784,814.77,4.04,4650.739873409271,0.0024845637,-0.015029382
0.010499936,0.8400289118289948,6405,6,0.56522393,0.0,4730880,817.53,4.06,4653.338295698166,0.0028254804,-0.015157903
