EpLenMean,EpRewMean,TimeElapsed,EpThisIter,loss_vf_loss,EpisodesSoFar,TimestepsSoFar,loss_ent,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_kl
651.92,-3.29,57.500996351242065,6,0.02227931,145,94208,1.8417591,0.0,0.8572193384170532,-0.010665616,0.0060479054
654.12,-3.15,60.01699447631836,6,0.02314755,151,98304,1.8576672,0.0,0.864503875374794,-0.013230727,0.0072000064
662.25,-3.18,89.53899836540222,6,0.020457853,157,102400,1.8156561,0.0,0.8644402325153351,-0.011941369,0.008079656
661.16,-3.2,91.81199431419373,6,0.02324975,163,106496,1.8157053,0.0,0.8800432905554771,-0.013518117,0.004989331
655.12,-3.33,93.93099617958069,6,0.021967966,169,110592,1.7943773,0.0,0.8319886922836304,-0.013889773,0.008980054
657.25,-3.28,96.54999470710754,6,0.016864456,175,114688,1.7846918,0.0,0.8821100518107414,-0.013422312,0.0054654256
656.49,-3.31,98.79599666595459,6,0.027760435,181,118784,1.7805477,0.0,0.8222496509552002,-0.014215729,0.008092321
658.52,-3.33,101.57799363136292,5,0.018735098,186,122880,1.7841536,0.0,0.9055390879511833,-0.013879561,0.0071085147
663.48,-3.15,104.117995262146,7,0.021151198,193,126976,1.7682937,0.0,0.909838430583477,-0.013518556,0.0067564673
665.94,-3.23,106.5559983253479,5,0.021337783,198,131072,1.768523,0.0,0.8985925912857056,-0.014611132,0.007239144
665.13,-3.2,108.97499656677246,7,0.027098252,205,135168,1.7698207,0.0,0.8783161863684654,-0.015161168,0.0072255614
662.6,-3.17,111.41699576377869,5,0.024520371,210,139264,1.7496288,0.0,0.8677050024271011,-0.015155309,0.0067966585
671.89,-3.01,114.17099905014038,6,0.025058862,216,143360,1.7497916,0.0,0.8800802826881409,-0.015844185,0.007077756
675.28,-2.76,116.65699481964111,7,0.030196128,223,147456,1.7478704,0.0,0.8588879853487015,-0.010506012,0.0048964857
682.25,-2.6,119.24299335479736,6,0.02467543,229,151552,1.7184759,0.0,0.8961045816540718,-0.012972728,0.0056976024
678.24,-2.51,121.87999367713928,6,0.02563604,235,155648,1.7186308,0.0,0.9021788835525513,-0.017023167,0.0053997585
678.18,-2.43,124.38899540901184,7,0.022186687,242,159744,1.6780959,0.0,0.8937501013278961,-0.016082173,0.00638638
681.54,-2.47,126.79799509048462,6,0.032598663,248,163840,1.6787348,0.0,0.8693570494651794,-0.016874252,0.006272525
671.23,-2.42,128.9819939136505,7,0.028749116,255,167936,1.6780365,0.0,0.8437452763319016,-0.01645977,0.009482502
663.27,-2.43,131.6299946308136,7,0.025597066,262,172032,1.6635783,0.0,0.8950119018554688,-0.016003575,0.0060734963
